Year,Month,Month_Number,Data_Item,Value,Units,Source
2024,February,2,Ground chuck retail price,5.213,Dollars per pound,BLS
2024,March,3,Ground chuck retail price,5.421,Dollars per pound,BLS
2024,April,4,Ground chuck retail price,5.277,Dollars per pound,BLS
2024,May,5,Ground chuck retail price,5.331,Dollars per pound,BLS
2024,June,6,Ground chuck retail price,5.364,Dollars per pound,BLS
2024,July,7,Ground chuck retail price,5.47,Dollars per pound,BLS
2024,August,8,Ground chuck retail price,5.638,Dollars per pound,BLS
2024,September,9,Ground chuck retail price,5.576,Dollars per pound,BLS
2024,October,10,Ground chuck retail price,5.586,Dollars per pound,BLS
2024,November,11,Ground chuck retail price,5.605,Dollars per pound,BLS
2024,December,12,Ground chuck retail price,5.576,Dollars per pound,BLS
2025,January,1,Ground chuck retail price,5.495,Dollars per pound,BLS
2025,February,2,Ground chuck retail price,5.744,Dollars per pound,BLS
2025,March,3,Ground chuck retail price,5.854,Dollars per pound,BLS
2025,April,4,Ground chuck retail price,5.996,Dollars per pound,BLS
2025,May,5,Ground chuck retail price,6.018,Dollars per pound,BLS
2025,June,6,Ground chuck retail price,6.103,Dollars per pound,BLS
2025,July,7,Ground chuck retail price,6.338,Dollars per pound,BLS
2025,August,8,Ground chuck retail price,6.626,Dollars per pound,BLS
2025,September,9,Ground chuck retail price,6.326,Dollars per pound,BLS
2025,October,10,Ground chuck retail price,NA,Dollars per pound,BLS
2025,November,11,Ground chuck retail price,6.504,Dollars per pound,BLS
2025,December,12,Ground chuck retail price,6.521,Dollars per pound,BLS
2026,January,1,Ground chuck retail price,6.693,Dollars per pound,BLS
2026,February,2,Ground chuck retail price,6.703,Dollars per pound,BLS
2024,February,2,Ground beef retail price,5.132,Dollars per pound,BLS
2024,March,3,Ground beef retail price,5.132,Dollars per pound,BLS
2024,April,4,Ground beef retail price,5.236,Dollars per pound,BLS
2024,May,5,Ground beef retail price,5.148,Dollars per pound,BLS
2024,June,6,Ground beef retail price,5.472,Dollars per pound,BLS
2024,July,7,Ground beef retail price,5.497,Dollars per pound,BLS
2024,August,8,Ground beef retail price,5.577,Dollars per pound,BLS
2024,September,9,Ground beef retail price,5.67,Dollars per pound,BLS
2024,October,10,Ground beef retail price,5.588,Dollars per pound,BLS
2024,November,11,Ground beef retail price,5.628,Dollars per pound,BLS
2024,December,12,Ground beef retail price,5.605,Dollars per pound,BLS
2025,January,1,Ground beef retail price,5.545,Dollars per pound,BLS
2025,February,2,Ground beef retail price,5.625,Dollars per pound,BLS
2025,March,3,Ground beef retail price,5.79,Dollars per pound,BLS
2025,April,4,Ground beef retail price,5.801,Dollars per pound,BLS
2025,May,5,Ground beef retail price,5.981,Dollars per pound,BLS
2025,June,6,Ground beef retail price,6.12,Dollars per pound,BLS
2025,July,7,Ground beef retail price,6.254,Dollars per pound,BLS
2025,August,8,Ground beef retail price,6.318,Dollars per pound,BLS
2025,September,9,Ground beef retail price,6.323,Dollars per pound,BLS
2025,October,10,Ground beef retail price,NA,Dollars per pound,BLS
2025,November,11,Ground beef retail price,6.54,Dollars per pound,BLS
2025,December,12,Ground beef retail price,6.687,Dollars per pound,BLS
2026,January,1,Ground beef retail price,6.752,Dollars per pound,BLS
2026,February,2,Ground beef retail price,6.739,Dollars per pound,BLS
2024,February,2,Lean & extra lean ground beef retail price,6.651,Dollars per pound,BLS
2024,March,3,Lean & extra lean ground beef retail price,6.734,Dollars per pound,BLS
2024,April,4,Lean & extra lean ground beef retail price,6.809,Dollars per pound,BLS
2024,May,5,Lean & extra lean ground beef retail price,6.847,Dollars per pound,BLS
2024,June,6,Lean & extra lean ground beef retail price,6.893,Dollars per pound,BLS
2024,July,7,Lean & extra lean ground beef retail price,7.169,Dollars per pound,BLS
2024,August,8,Lean & extra lean ground beef retail price,6.918,Dollars per pound,BLS
2024,September,9,Lean & extra lean ground beef retail price,7.223,Dollars per pound,BLS
2024,October,10,Lean & extra lean ground beef retail price,7.22,Dollars per pound,BLS
2024,November,11,Lean & extra lean ground beef retail price,6.977,Dollars per pound,BLS
2024,December,12,Lean & extra lean ground beef retail price,7.124,Dollars per pound,BLS
2025,January,1,Lean & extra lean ground beef retail price,7.11,Dollars per pound,BLS
2025,February,2,Lean & extra lean ground beef retail price,7.244,Dollars per pound,BLS
2025,March,3,Lean & extra lean ground beef retail price,7.476,Dollars per pound,BLS
2025,April,4,Lean & extra lean ground beef retail price,7.551,Dollars per pound,BLS
2025,May,5,Lean & extra lean ground beef retail price,7.688,Dollars per pound,BLS
2025,June,6,Lean & extra lean ground beef retail price,7.672,Dollars per pound,BLS
2025,July,7,Lean & extra lean ground beef retail price,8.035,Dollars per pound,BLS
2025,August,8,Lean & extra lean ground beef retail price,7.95,Dollars per pound,BLS
2025,September,9,Lean & extra lean ground beef retail price,8.182,Dollars per pound,BLS
2025,October,10,Lean & extra lean ground beef retail price,NA,Dollars per pound,BLS
2025,November,11,Lean & extra lean ground beef retail price,8.232,Dollars per pound,BLS
2025,December,12,Lean & extra lean ground beef retail price,8.254,Dollars per pound,BLS
2026,January,1,Lean & extra lean ground beef retail price,8.191,Dollars per pound,BLS
2026,February,2,Lean & extra lean ground beef retail price,8.338,Dollars per pound,BLS
2024,February,2,All uncooked ground beef retail price,5.479,Dollars per pound,BLS
2024,March,3,All uncooked ground beef retail price,5.522,Dollars per pound,BLS
2024,April,4,All uncooked ground beef retail price,5.561,Dollars per pound,BLS
2024,May,5,All uncooked ground beef retail price,5.603,Dollars per pound,BLS
2024,June,6,All uncooked ground beef retail price,5.712,Dollars per pound,BLS
2024,July,7,All uncooked ground beef retail price,5.799,Dollars per pound,BLS
2024,August,8,All uncooked ground beef retail price,5.867,Dollars per pound,BLS
2024,September,9,All uncooked ground beef retail price,5.917,Dollars per pound,BLS
2024,October,10,All uncooked ground beef retail price,5.887,Dollars per pound,BLS
2024,November,11,All uncooked ground beef retail price,5.874,Dollars per pound,BLS
2024,December,12,All uncooked ground beef retail price,5.863,Dollars per pound,BLS
2025,January,1,All uncooked ground beef retail price,5.82,Dollars per pound,BLS
2025,February,2,All uncooked ground beef retail price,5.961,Dollars per pound,BLS
2025,March,3,All uncooked ground beef retail price,6.137,Dollars per pound,BLS
2025,April,4,All uncooked ground beef retail price,6.142,Dollars per pound,BLS
2025,May,5,All uncooked ground beef retail price,6.245,Dollars per pound,BLS
2025,June,6,All uncooked ground beef retail price,6.342,Dollars per pound,BLS
2025,July,7,All uncooked ground beef retail price,6.504,Dollars per pound,BLS
2025,August,8,All uncooked ground beef retail price,6.631,Dollars per pound,BLS
2025,September,9,All uncooked ground beef retail price,6.643,Dollars per pound,BLS
2025,October,10,All uncooked ground beef retail price,NA,Dollars per pound,BLS
2025,November,11,All uncooked ground beef retail price,6.781,Dollars per pound,BLS
2025,December,12,All uncooked ground beef retail price,6.821,Dollars per pound,BLS
2026,January,1,All uncooked ground beef retail price,6.868,Dollars per pound,BLS
2026,February,2,All uncooked ground beef retail price,6.895,Dollars per pound,BLS
2024,February,2,"Chuck roast, USDA Choice, boneless retail price",7.513,Dollars per pound,BLS
2024,March,3,"Chuck roast, USDA Choice, boneless retail price",7.362,Dollars per pound,BLS
2024,April,4,"Chuck roast, USDA Choice, boneless retail price",7.516,Dollars per pound,BLS
2024,May,5,"Chuck roast, USDA Choice, boneless retail price",7.531,Dollars per pound,BLS
2024,June,6,"Chuck roast, USDA Choice, boneless retail price",7.649,Dollars per pound,BLS
2024,July,7,"Chuck roast, USDA Choice, boneless retail price",7.781,Dollars per pound,BLS
2024,August,8,"Chuck roast, USDA Choice, boneless retail price",7.692,Dollars per pound,BLS
2024,September,9,"Chuck roast, USDA Choice, boneless retail price",7.596,Dollars per pound,BLS
2024,October,10,"Chuck roast, USDA Choice, boneless retail price",7.301,Dollars per pound,BLS
2024,November,11,"Chuck roast, USDA Choice, boneless retail price",7.578,Dollars per pound,BLS
2024,December,12,"Chuck roast, USDA Choice, boneless retail price",7.769,Dollars per pound,BLS
2025,January,1,"Chuck roast, USDA Choice, boneless retail price",7.694,Dollars per pound,BLS
2025,February,2,"Chuck roast, USDA Choice, boneless retail price",8.104,Dollars per pound,BLS
2025,March,3,"Chuck roast, USDA Choice, boneless retail price",8.097,Dollars per pound,BLS
2025,April,4,"Chuck roast, USDA Choice, boneless retail price",7.98,Dollars per pound,BLS
2025,May,5,"Chuck roast, USDA Choice, boneless retail price",7.875,Dollars per pound,BLS
2025,June,6,"Chuck roast, USDA Choice, boneless retail price",8.197,Dollars per pound,BLS
2025,July,7,"Chuck roast, USDA Choice, boneless retail price",8.439,Dollars per pound,BLS
2025,August,8,"Chuck roast, USDA Choice, boneless retail price",8.845,Dollars per pound,BLS
2025,September,9,"Chuck roast, USDA Choice, boneless retail price",9.232,Dollars per pound,BLS
2025,October,10,"Chuck roast, USDA Choice, boneless retail price",NA,Dollars per pound,BLS
2025,November,11,"Chuck roast, USDA Choice, boneless retail price",9.343,Dollars per pound,BLS
2025,December,12,"Chuck roast, USDA Choice, boneless retail price",8.951,Dollars per pound,BLS
2026,January,1,"Chuck roast, USDA Choice, boneless retail price",8.709,Dollars per pound,BLS
2026,February,2,"Chuck roast, USDA Choice, boneless retail price",8.957,Dollars per pound,BLS
2024,February,2,"Round roast, USDA Choice boneless retail price",6.71,Dollars per pound,BLS
2024,March,3,"Round roast, USDA Choice boneless retail price",6.974,Dollars per pound,BLS
2024,April,4,"Round roast, USDA Choice boneless retail price",6.858,Dollars per pound,BLS
2024,May,5,"Round roast, USDA Choice boneless retail price",6.987,Dollars per pound,BLS
2024,June,6,"Round roast, USDA Choice boneless retail price",6.879,Dollars per pound,BLS
2024,July,7,"Round roast, USDA Choice boneless retail price",7.121,Dollars per pound,BLS
2024,August,8,"Round roast, USDA Choice boneless retail price",7.161,Dollars per pound,BLS
2024,September,9,"Round roast, USDA Choice boneless retail price",7.244,Dollars per pound,BLS
2024,October,10,"Round roast, USDA Choice boneless retail price",7.008,Dollars per pound,BLS
2024,November,11,"Round roast, USDA Choice boneless retail price",7.141,Dollars per pound,BLS
2024,December,12,"Round roast, USDA Choice boneless retail price",7.486,Dollars per pound,BLS
2025,January,1,"Round roast, USDA Choice boneless retail price",7.27,Dollars per pound,BLS
2025,February,2,"Round roast, USDA Choice boneless retail price",7.49,Dollars per pound,BLS
2025,March,3,"Round roast, USDA Choice boneless retail price",7.557,Dollars per pound,BLS
2025,April,4,"Round roast, USDA Choice boneless retail price",7.616,Dollars per pound,BLS
2025,May,5,"Round roast, USDA Choice boneless retail price",7.57,Dollars per pound,BLS
2025,June,6,"Round roast, USDA Choice boneless retail price",7.762,Dollars per pound,BLS
2025,July,7,"Round roast, USDA Choice boneless retail price",7.909,Dollars per pound,BLS
2025,August,8,"Round roast, USDA Choice boneless retail price",8.13,Dollars per pound,BLS
2025,September,9,"Round roast, USDA Choice boneless retail price",8.506,Dollars per pound,BLS
2025,October,10,"Round roast, USDA Choice boneless retail price",NA,Dollars per pound,BLS
2025,November,11,"Round roast, USDA Choice boneless retail price",8.943,Dollars per pound,BLS
2025,December,12,"Round roast, USDA Choice boneless retail price",8.853,Dollars per pound,BLS
2026,January,1,"Round roast, USDA Choice boneless retail price",8.546,Dollars per pound,BLS
2026,February,2,"Round roast, USDA Choice boneless retail price",8.587,Dollars per pound,BLS
2024,February,2,"Round steak, USDA Choice retail price",7.883,Dollars per pound,BLS
2024,March,3,"Round steak, USDA Choice retail price",8.031,Dollars per pound,BLS
2024,April,4,"Round steak, USDA Choice retail price",8.11,Dollars per pound,BLS
2024,May,5,"Round steak, USDA Choice retail price",8.247,Dollars per pound,BLS
2024,June,6,"Round steak, USDA Choice retail price",7.927,Dollars per pound,BLS
2024,July,7,"Round steak, USDA Choice retail price",8.059,Dollars per pound,BLS
2024,August,8,"Round steak, USDA Choice retail price",8.226,Dollars per pound,BLS
2024,September,9,"Round steak, USDA Choice retail price",8.148,Dollars per pound,BLS
2024,October,10,"Round steak, USDA Choice retail price",8.154,Dollars per pound,BLS
2024,November,11,"Round steak, USDA Choice retail price",8.159,Dollars per pound,BLS
2024,December,12,"Round steak, USDA Choice retail price",8.136,Dollars per pound,BLS
2025,January,1,"Round steak, USDA Choice retail price",8.28,Dollars per pound,BLS
2025,February,2,"Round steak, USDA Choice retail price",8.485,Dollars per pound,BLS
2025,March,3,"Round steak, USDA Choice retail price",8.554,Dollars per pound,BLS
2025,April,4,"Round steak, USDA Choice retail price",8.627,Dollars per pound,BLS
2025,May,5,"Round steak, USDA Choice retail price",8.401,Dollars per pound,BLS
2025,June,6,"Round steak, USDA Choice retail price",8.457,Dollars per pound,BLS
2025,July,7,"Round steak, USDA Choice retail price",8.69,Dollars per pound,BLS
2025,August,8,"Round steak, USDA Choice retail price",9.076,Dollars per pound,BLS
2025,September,9,"Round steak, USDA Choice retail price",9.36,Dollars per pound,BLS
2025,October,10,"Round steak, USDA Choice retail price",NA,Dollars per pound,BLS
2025,November,11,"Round steak, USDA Choice retail price",9.665,Dollars per pound,BLS
2025,December,12,"Round steak, USDA Choice retail price",9.875,Dollars per pound,BLS
2026,January,1,"Round steak, USDA Choice retail price",9.836,Dollars per pound,BLS
2026,February,2,"Round steak, USDA Choice retail price",10.095,Dollars per pound,BLS
2024,February,2,All uncooked beef roasts retail price,7.351,Dollars per pound,BLS
2024,March,3,All uncooked beef roasts retail price,7.395,Dollars per pound,BLS
2024,April,4,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,May,5,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,June,6,All uncooked beef roasts retail price,7.472,Dollars per pound,BLS
2024,July,7,All uncooked beef roasts retail price,7.638,Dollars per pound,BLS
2024,August,8,All uncooked beef roasts retail price,7.63,Dollars per pound,BLS
2024,September,9,All uncooked beef roasts retail price,7.582,Dollars per pound,BLS
2024,October,10,All uncooked beef roasts retail price,7.368,Dollars per pound,BLS
2024,November,11,All uncooked beef roasts retail price,7.598,Dollars per pound,BLS
2024,December,12,All uncooked beef roasts retail price,7.719,Dollars per pound,BLS
2025,January,1,All uncooked beef roasts retail price,7.718,Dollars per pound,BLS
2025,February,2,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,March,3,All uncooked beef roasts retail price,7.992,Dollars per pound,BLS
2025,April,4,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,May,5,All uncooked beef roasts retail price,7.939,Dollars per pound,BLS
2025,June,6,All uncooked beef roasts retail price,8.203,Dollars per pound,BLS
2025,July,7,All uncooked beef roasts retail price,8.397,Dollars per pound,BLS
2025,August,8,All uncooked beef roasts retail price,8.723,Dollars per pound,BLS
2025,September,9,All uncooked beef roasts retail price,9.04,Dollars per pound,BLS
2025,October,10,All uncooked beef roasts retail price,NA,Dollars per pound,BLS
2025,November,11,All uncooked beef roasts retail price,9.29,Dollars per pound,BLS
2025,December,12,All uncooked beef roasts retail price,9.033,Dollars per pound,BLS
2026,January,1,All uncooked beef roasts retail price,8.824,Dollars per pound,BLS
2026,February,2,All uncooked beef roasts retail price,8.926,Dollars per pound,BLS
2024,February,2,"Sirloin steak, USDA Choice boneless retail price",11.716,Dollars per pound,BLS
2024,March,3,"Sirloin steak, USDA Choice boneless retail price",11.537,Dollars per pound,BLS
2024,April,4,"Sirloin steak, USDA Choice boneless retail price",11.662,Dollars per pound,BLS
2024,May,5,"Sirloin steak, USDA Choice boneless retail price",11.558,Dollars per pound,BLS
2024,June,6,"Sirloin steak, USDA Choice boneless retail price",11.465,Dollars per pound,BLS
2024,July,7,"Sirloin steak, USDA Choice boneless retail price",11.726,Dollars per pound,BLS
2024,August,8,"Sirloin steak, USDA Choice boneless retail price",11.54,Dollars per pound,BLS
2024,September,9,"Sirloin steak, USDA Choice boneless retail price",11.787,Dollars per pound,BLS
2024,October,10,"Sirloin steak, USDA Choice boneless retail price",11.497,Dollars per pound,BLS
2024,November,11,"Sirloin steak, USDA Choice boneless retail price",12.014,Dollars per pound,BLS
2024,December,12,"Sirloin steak, USDA Choice boneless retail price",11.666,Dollars per pound,BLS
2025,January,1,"Sirloin steak, USDA Choice boneless retail price",11.965,Dollars per pound,BLS
2025,February,2,"Sirloin steak, USDA Choice boneless retail price",11.899,Dollars per pound,BLS
2025,March,3,"Sirloin steak, USDA Choice boneless retail price",11.924,Dollars per pound,BLS
2025,April,4,"Sirloin steak, USDA Choice boneless retail price",12.326,Dollars per pound,BLS
2025,May,5,"Sirloin steak, USDA Choice boneless retail price",12.207,Dollars per pound,BLS
2025,June,6,"Sirloin steak, USDA Choice boneless retail price",12.923,Dollars per pound,BLS
2025,July,7,"Sirloin steak, USDA Choice boneless retail price",13.554,Dollars per pound,BLS
2025,August,8,"Sirloin steak, USDA Choice boneless retail price",14.319,Dollars per pound,BLS
2025,September,9,"Sirloin steak, USDA Choice boneless retail price",14.135,Dollars per pound,BLS
2025,October,10,"Sirloin steak, USDA Choice boneless retail price",NA,Dollars per pound,BLS
2025,November,11,"Sirloin steak, USDA Choice boneless retail price",13.342,Dollars per pound,BLS
2025,December,12,"Sirloin steak, USDA Choice boneless retail price",14.027,Dollars per pound,BLS
2026,January,1,"Sirloin steak, USDA Choice boneless retail price",13.837,Dollars per pound,BLS
2026,February,2,"Sirloin steak, USDA Choice boneless retail price",14.191,Dollars per pound,BLS
2024,February,2,"Beef for stew, boneless retail price",6.839,Dollars per pound,BLS
2024,March,3,"Beef for stew, boneless retail price",6.991,Dollars per pound,BLS
2024,April,4,"Beef for stew, boneless retail price",7.197,Dollars per pound,BLS
2024,May,5,"Beef for stew, boneless retail price",7.229,Dollars per pound,BLS
2024,June,6,"Beef for stew, boneless retail price",7.239,Dollars per pound,BLS
2024,July,7,"Beef for stew, boneless retail price",7.145,Dollars per pound,BLS
2024,August,8,"Beef for stew, boneless retail price",7.298,Dollars per pound,BLS
2024,September,9,"Beef for stew, boneless retail price",7.217,Dollars per pound,BLS
2024,October,10,"Beef for stew, boneless retail price",7.177,Dollars per pound,BLS
2024,November,11,"Beef for stew, boneless retail price",7.432,Dollars per pound,BLS
2024,December,12,"Beef for stew, boneless retail price",7.393,Dollars per pound,BLS
2025,January,1,"Beef for stew, boneless retail price",7.318,Dollars per pound,BLS
2025,February,2,"Beef for stew, boneless retail price",7.677,Dollars per pound,BLS
2025,March,3,"Beef for stew, boneless retail price",7.601,Dollars per pound,BLS
2025,April,4,"Beef for stew, boneless retail price",7.733,Dollars per pound,BLS
2025,May,5,"Beef for stew, boneless retail price",7.729,Dollars per pound,BLS
2025,June,6,"Beef for stew, boneless retail price",8.016,Dollars per pound,BLS
2025,July,7,"Beef for stew, boneless retail price",8.188,Dollars per pound,BLS
2025,August,8,"Beef for stew, boneless retail price",8.815,Dollars per pound,BLS
2025,September,9,"Beef for stew, boneless retail price",8.68,Dollars per pound,BLS
2025,October,10,"Beef for stew, boneless retail price",NA,Dollars per pound,BLS
2025,November,11,"Beef for stew, boneless retail price",9.172,Dollars per pound,BLS
2025,December,12,"Beef for stew, boneless retail price",8.63,Dollars per pound,BLS
2026,January,1,"Beef for stew, boneless retail price",8.463,Dollars per pound,BLS
2026,February,2,"Beef for stew, boneless retail price",8.358,Dollars per pound,BLS
2024,February,2,All uncooked beef steaks retail price,10.53,Dollars per pound,BLS
2024,March,3,All uncooked beef steaks retail price,10.594,Dollars per pound,BLS
2024,April,4,All uncooked beef steaks retail price,10.745,Dollars per pound,BLS
2024,May,5,All uncooked beef steaks retail price,10.734,Dollars per pound,BLS
2024,June,6,All uncooked beef steaks retail price,10.635,Dollars per pound,BLS
2024,July,7,All uncooked beef steaks retail price,10.856,Dollars per pound,BLS
2024,August,8,All uncooked beef steaks retail price,10.875,Dollars per pound,BLS
2024,September,9,All uncooked beef steaks retail price,10.882,Dollars per pound,BLS
2024,October,10,All uncooked beef steaks retail price,10.565,Dollars per pound,BLS
2024,November,11,All uncooked beef steaks retail price,10.673,Dollars per pound,BLS
2024,December,12,All uncooked beef steaks retail price,10.626,Dollars per pound,BLS
2025,January,1,All uncooked beef steaks retail price,10.905,Dollars per pound,BLS
2025,February,2,All uncooked beef steaks retail price,10.868,Dollars per pound,BLS
2025,March,3,All uncooked beef steaks retail price,10.98,Dollars per pound,BLS
